Date,Caroni,Navet,Hollis,Hillsborough
04/01/1998,33.9,36.7,35.6,36.59
03/01/1998,24.7,13.5,34.7,69
02/01/1998,27.3,58.3,52.9,72.8
01/01/1998,40.3,74.2,100.8,84.6
12/01/1997,100,89.7,107.2,17.5
11/01/1997,318.54,280.1,399.9,332.6
10/01/1997,171.6,121.5,157.3,179.84
09/01/1997,247.7,195.5,379.4,203.7
08/01/1997,227.1,245,303.1,210.08
07/01/1997,260.2,361.5,511.8,257.64
06/01/1997,302.6,376.5,359.5,325.85
05/01/1997,60.9,125.2,122.3,82.43
04/01/1997,61.9,46.5,88.25,48.44
03/01/1997,71.7,50.5,83.6,61.03
02/01/1997,191.83,242.5,185.1,141.79
01/01/1997,123.69,207.9,332.62,194.05
12/01/1996,152.9,157.1,270.1,212.06
11/01/1996,250.82,386.2,447.5,421.36
10/01/1996,218.85,155.5,315.8,249.01
09/01/1996,302.48,324,281.8,283.83
08/01/1996,287.02,278.5,441.8,201.79
07/01/1996,261.52,225.2,282.2,290.52
06/01/1996,357.7,421.46,434.6,225.79
05/01/1996,278.7,338,402.7,264.44
04/01/1996,45.72,37,76.7,85.91
03/01/1996,21.4,66.5,82.8,48.38
02/01/1996,58.33,103.6,107.5,42.28
01/01/1996,70.83,54.4,168.08,74.8
12/01/1995,94.06,110.6,103.7,117.35
11/01/1995,179.2,174.5,211.3,132.1
10/01/1995,125.3,151.5,245.85,313
09/01/1995,93.21,98.5,159.7,146.76
08/01/1995,182.6,219,416.8,275.54
07/01/1995,402.7,183.9,367.9,163.53
06/01/1995,243.32,266.1,327.2,176.04
05/01/1995,90.65,79.3,38.8,34.97
04/01/1995,68.07,106.5,38.9,51.95
03/01/1995,17.02,40.3,84.2,58.12
02/01/1995,39.87,25,39.3,44.23
01/01/1995,89.91,50,73.45,34.42
12/01/1994,203.779,245.935,277.795,237.801
11/01/1994,305.946,319.794,375.762,338.021
10/01/1994,197.587,231.195,276.605,270.575
09/01/1994,195.338,224.127,260.285,230.558
08/01/1994,212.782,237.436,361.49,239.931
07/01/1994,273.102,264.149,328.42,217.154
06/01/1994,304.596,340.233,355.404,248.287
05/01/1994,143.962,165.1,195.16,153.434
04/01/1994,79.423,85.095,126.181,73.508
03/01/1994,40.502,62.063,84.78633333,56.863
02/01/1994,75.263,76.695,85.701,61.204
01/01/1994,101.542,123.155,163.765,105.881
